id,type,subtype2,subtype1,player1,player2,team,lon,lat,elapsed,elapsed_plus,game_id
378998,goal,header,n,37799,38807,10261,NA,NA,22,NA,1729
379019,goal,shot,n,24148,24154,10260,NA,NA,24,NA,1729
375546,goal,shot,n,26181,39297,9825,NA,NA,4,NA,1730
378041,goal,distance,n,30853,30889,8650,NA,NA,83,NA,1731
376060,goal,shot,n,23139,36394,8654,NA,NA,4,NA,1732
376165,goal,shot,n,23139,37277,8654,NA,NA,10,NA,1732
376929,goal,volley,n,127857,34466,8528,NA,NA,47,NA,1732
378837,goal,header,n,26165,23354,10252,NA,NA,47,NA,1733
378981,goal,NA,p,40198,NA,8456,NA,NA,64,NA,1733
379030,goal,shot,n,23264,24658,10252,NA,NA,69,NA,1733
379074,goal,header,n,23264,23782,10252,NA,NA,74,NA,1733
379095,goal,shot,n,23264,23782,10252,NA,NA,76,NA,1733
379250,goal,shot,n,46403,45431,8456,NA,NA,90,NA,1733
376354,goal,distance,n,30342,23916,8655,NA,NA,22,NA,1734
376795,goal,direct_freekick,n,24011,NA,8668,NA,NA,45,2,1734
377232,goal,header,n,24160,24011,8668,NA,NA,65,NA,1734
377255,goal,shot,n,30646,24136,8655,NA,NA,67,NA,1734
377671,goal,shot,n,37764,23921,8655,NA,NA,90,5,1734
376536,goal,header,dg,24166,NA,8549,NA,NA,32,NA,1735
377347,goal,shot,n,24166,35608,8549,NA,NA,71,NA,1735
377556,goal,shot,n,38491,33128,8549,NA,NA,86,NA,1735
377648,goal,NA,o,38899,NA,8549,NA,NA,90,3,1735
376569,goal,distance,n,26454,23933,8559,NA,NA,34,NA,1736
376692,goal,header,n,23934,23783,8559,NA,NA,41,NA,1736
376818,goal,header,n,34261,23931,8559,NA,NA,45,2,1736
377666,goal,header,n,38755,23371,10194,NA,NA,90,3,1736
376153,goal,header,n,34248,24843,9879,NA,NA,9,NA,1737
376379,goal,distance,n,39073,34430,8667,NA,NA,23,NA,1737
377500,goal,shot,n,23563,23034,8667,NA,NA,82,NA,1737
378202,goal,shot,n,30630,30699,8455,NA,NA,12,NA,1738
378245,goal,header,n,37804,30686,8455,NA,NA,26,NA,1738
378318,goal,NA,p,30631,NA,8455,NA,NA,45,2,1738
378626,goal,distance,n,30686,30367,8455,NA,NA,89,NA,1738
463925,goal,shot,n,30893,40945,10260,NA,NA,14,NA,1739
464314,goal,shot,n,30893,27430,10260,NA,NA,30,NA,1739
463841,goal,distance,n,23760,30818,8586,NA,NA,13,NA,1740
464406,goal,header,n,30616,30843,9825,NA,NA,37,NA,1740
464813,goal,header,n,38835,30843,9825,NA,NA,46,NA,1740
465227,goal,shot,n,30960,26181,9825,NA,NA,64,NA,1740
465295,goal,shot,n,23949,NA,8586,NA,NA,68,NA,1740
465304,goal,shot,n,30843,30960,9825,NA,NA,68,NA,1740
465663,goal,shot,n,30818,NA,8586,NA,NA,89,NA,1740
465718,goal,shot,n,30895,NA,8586,NA,NA,90,4,1740
464942,goal,NA,p,35608,NA,8549,NA,NA,53,NA,1741
465709,goal,shot,n,24393,42183,8549,NA,NA,90,4,1741
465700,goal,header,n,39618,36012,8668,NA,NA,90,NA,1742
463422,goal,shot,n,30631,NA,8455,NA,NA,3,NA,1743
464624,goal,shot,n,37804,NA,8455,NA,NA,50,NA,1743
465095,goal,shot,n,30679,30911,8455,NA,NA,75,NA,1743
465096,goal,header,n,38755,25668,10194,NA,NA,73,NA,1744
465392,goal,NA,p,30618,NA,8650,NA,NA,76,NA,1745
463874,goal,shot,n,24136,34947,8655,NA,NA,30,NA,1746
464313,goal,shot,n,30357,23282,10252,NA,NA,45,2,1746
464895,goal,shot,n,23782,38807,10252,NA,NA,65,NA,1746
465386,goal,shot,n,23264,23354,10252,NA,NA,87,NA,1746
465513,goal,direct_freekick,n,30842,NA,8655,NA,NA,90,4,1746
462695,goal,NA,p,24205,NA,10261,NA,NA,10,NA,1747
462869,goal,header,n,37799,25518,10261,NA,NA,42,NA,1747
462999,goal,shot,n,27267,40055,8659,NA,NA,65,NA,1747
463522,goal,shot,n,31907,24781,9879,NA,NA,11,NA,1748
464828,goal,shot,n,31907,24843,9879,NA,NA,60,NA,1748
466901,goal,shot,n,30893,27430,10260,NA,NA,3,NA,1749
467171,goal,header,n,26143,23022,8667,NA,NA,23,NA,1749
467264,goal,shot,n,34944,27430,10260,NA,NA,29,NA,1749
467429,goal,shot,dg,30829,NA,10260,NA,NA,40,NA,1749
467495,goal,header,n,30893,40945,10260,NA,NA,44,NA,1749
467857,goal,shot,n,30865,30829,10260,NA,NA,57,NA,1749
468051,goal,shot,n,32577,NA,8667,NA,NA,69,NA,1749
468239,goal,NA,p,39073,NA,8667,NA,NA,82,NA,1749
468555,goal,shot,n,37139,24635,8650,NA,NA,3,NA,1750
468934,goal,NA,o,30617,NA,8650,NA,NA,69,NA,1750
469035,goal,shot,n,40755,23949,8586,NA,NA,90,1,1750
466744,goal,header,n,30735,24006,8668,NA,NA,87,NA,1751
467145,goal,shot,n,24747,30734,8654,NA,NA,21,NA,1752
468240,goal,direct_freekick,n,38491,NA,8549,NA,NA,82,NA,1752
473071,goal,distance,n,37799,24205,10261,NA,NA,60,NA,1753
473124,goal,shot,n,37799,33852,10261,NA,NA,83,NA,1753
471685,goal,shot,n,23937,23932,8559,NA,NA,77,NA,1754
471816,goal,NA,o,24211,NA,8456,NA,NA,88,NA,1754
467018,goal,NA,p,34947,NA,8655,NA,NA,13,NA,1755
467819,goal,shot,n,32570,27267,8659,NA,NA,55,NA,1755
467926,goal,distance,n,27267,24664,8659,NA,NA,62,NA,1755
468356,goal,distance,n,38711,NA,8655,NA,NA,89,NA,1755
467538,goal,NA,p,127857,NA,8528,NA,NA,45,NA,1756
468290,goal,shot,n,38820,30830,8462,NA,NA,82,NA,1756
468417,goal,shot,n,34466,25150,8528,NA,NA,90,2,1756
467013,goal,header,n,38755,25668,10194,NA,NA,11,NA,1757
